ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
323,Jazz Data,JAZZ DATA,,,,
982,Je suis indépendant,JE SUIS INDEPENDANT,,,,
749,Keolis,KEOLIS,,,,
843,L'Europe vue du ciel,L EUROPE VUE DU CIEL,,,,
885,La Neuveville devant Lepanges,LA NEUVEVILLE DEVANT LEPANGES,218803229,88322,518.00,Commune
312,La Poste,LA POSTE,,,,
837,La Poste,LA POSTE,,,,
269,La Rosière Tourisme,LA ROSIERE TOURISME,,,,
951,Laboratoire LOTERR de l'Université de LORRAINE,LABORATOIRE LOTERR DE L UNIVERSITE DE LORRAINE,,,,
988,LE FAVRIL,LE FAVRIL,212801484,28148,379.00,Commune
190,Le Mans métropole,LE MANS METROPOLE,,,,Metropole
426,Le Mans Métropole,LE MANS METROPOLE,,,,Metropole
609,Les Échos,LES ECHOS,,,,
907,Locmariaquer,LOCMARIAQUER,215601162,56116,"1,597.00",Commune
990,LOUBEYRAT,LOUBEYRAT,216301986,63198,"1,403.00",Commune
1001,Maire de BRIOUX-SUR-BOUTONNE,MAIRE DE BRIOUX SUR BOUTONNE,217900570,79057,"1,496.00",Commune
205,MAIRIE,MAIRIE,,,,
367,Mairie,MAIRIE,,,,
436,Mairie,MAIRIE,,,,
877,Mairie,MAIRIE,,,,
941,Mairie,MAIRIE,,,,
1010,Mairie,MAIRIE,,,,
429,Mairie AUCH,MAIRIE AUCH,213200132,32000,"23,276.00",Commune
644,Mairie Beauce la Romaine,MAIRIE BEAUCE LA ROMAINE,200055390,41240,"3,556.00",Commune
781,mairie d'abbeville,ABBEVILLE,218000016,80001,"23,390.00",Commune
1012,Mairie d'Igny,IGNY,219103124,91312,"10,220.00",Commune
346,Mairie d'Orvault,ORVAULT,214401143,44114,"27,908.00",Commune
265,mairie de bayonne,BAYONNE,216401026,64102,"53,063.00",Commune
579,Mairie de Bertrtimoutier,BERTRTIMOUTIER,218800548,88520,307.00,Commune
449,Mairie de Besançon,BESANCON,212500565,25056,"121,144.00",Commune
1002,Mairie de BRIOUX-SUR-BOUTONNE,BRIOUX SUR BOUTONNE,217900570,79057,"1,496.00",Commune
196,Mairie de Caluire et Cuire,CALUIRE ET CUIRE,216900340,69034,"43,916.00",Commune
412,Mairie de Courchevel,COURCHEVEL,200064038,73227,"2,433.00",Commune
707,MAIRIE DE HUNDSBACH,HUNDSBACH,216801480,68148,367.00,Commune
18,Mairie de La Possession,LA POSSESSION,219740081,97408,"33,405.00",Commune
432,Mairie de La Possession,LA POSSESSION,219740081,97408,"33,405.00",Commune
795,Mairie de La Possession,LA POSSESSION,219740081,97408,"33,405.00",Commune
532,Mairie de LACROIX-FALGARDE,LACROIX FALGARDE,213102593,31259,"2,130.00",Commune
320,mairie de lambersart,LAMBERSART,215903287,59328,"27,835.00",Commune
264,Mairie de Marseillan,MARSEILLAN,213401508,34150,"7,838.00",Commune
518,Mairie de Montauban,MONTAUBAN,218201218,82121,"62,832.00",Commune
496,Mairie de Montreuil,MONTREUIL,219300480,93048,"111,810.00",Commune
783,Mairie de MONTVALEZAN,MONTVALEZAN,217301761,73176,719.00,Commune
782,Mairie de NOTTONVILLE,NOTTONVILLE,212802839,28283,294.00,Commune
633,Mairie de Pont de Claix,PONT DE CLAIX,213 803 174,38800,"10,792.00",Commune
655,Mairie de PORTS-sur-VIENNE,PORTS SUR VIENNE,213701873,37187,367.00,Commune
116,Mairie de Saint Eugène,SAINT EUGENE,217104116,71411,162.00,Commune
498,mairie de Val d'Isère,VAL D ISERE,217303049,73304,"1,629.00",Commune
79,Mairie de Val-de-Reuil,VAL DE REUIL,212707012,27701,"13,197.00",Commune
456,Mairie de Villejuif,VILLEJUIF,219400769,94076,"55,451.00",Commune
750,Mairie de Wattrelos,WATTRELOS,215906504,59650,"41,070.00",Commune
253,Mairie du 8e secteur de Marseille,MAIRIE DU E SECTEUR DE MARSEILLE,,13008,,
380,Maison Départementale de la Solidarité Tours Monconseil,MAISON DEPARTEMENTALE DE LA SOLIDARITE TOURS MONCONSEIL,,,,
306,Makina Corpus,MAKINA CORPUS,,,,
505,MDPH 31,MDPH,,,,
356,MEAE,MEAE,,,,
72,Métropole de Lyon,METROPOLE DE LYON,200046977,691,"1,428,062.00",Metropole
115,Métropole de Lyon,METROPOLE DE LYON,200046977,691,"1,428,062.00",Metropole
996,Métropole de Montpellier,METROPOLE DE MONTPELLIER,243 400 017,34000,"497,771.00",Metropole
243,Métropole du Grand Paris,METROPOLE DU GRAND PARIS,200 054 781,75013,,Metropole
57,Métropole Européenne de Lille,METROPOLE EUROPEENNE DE LILLE,200093201,,"1,189,961.00",Metropole
144,Métropole NCA,METROPOLE NCA,,,,Metropole
894,Métropole Rouen Normandie,METROPOLE ROUEN NORMANDIE,200023414,,"501,431.00",Metropole
691,Metz Métropole,METZ METROPOLE,200039865,,"228,793.00",Metropole
835,Meuse Attractivité,MEUSE ATTRACTIVITE,,,,
252,Ministère de l'Enseignement Supérieur et de la Recherche,MINISTERE DE L ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE,,,,
973,Ministère de l'Enseignement supérieur et de la Recherche,MINISTERE DE L ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE,,,,
342,ministère de la justice,MINISTERE DE LA JUSTICE,,,,
887,MLNM,MLNM,,,,
77,MMM,MMM,,,,
244,Monptellier Méditerranée Métropole,MONPTELLIER MEDITERRANEE METROPOLE,,,,Metropole
1011,Nantes Métropole,NANTES METROPOLE,244400404,,"677,158.00",Metropole
20,OFPRA,OFPRA,,,,
975,OM,OM,,,,
105,OPEN DATA FRANCE,OPEN DATA FRANCE,,,,
864,OpenAgenda,OPENAGENDA,,,,
905,ORLEANS METROPOLE,ORLEANS METROPOLE,244500468,,"294,086.00",Metropole
932,Parc naturel régional des Boucles de la Seine Normande,PARC NATUREL REGIONAL DES BOUCLES DE LA SEINE NORMANDE,,,,
499,Parc naturel régional des Vosges du Nord,PARC NATUREL REGIONAL DES VOSGES DU NORD,,,,
694,Parc Naturel Régional des Vosges du Nord,PARC NATUREL REGIONAL DES VOSGES DU NORD,,,,
963,Paris Region,PARIS REGION,,,,Region
106,PETR PMO Pôle Marennes Oléron,PETR PMO POLE MARENNES OLERON,,,,
