ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
817,Commune de Phalsbourg,PHALSBOURG,215705401,57540,4969,Commune
819,Commune de Saint-Bernard,SAINT BERNARD,216800813,68081,579,Commune
820,Ville de Mulhouse et Mulhouse Alsace Agglomération,VILLE DE MULHOUSE ET MULHOUSE ALSACE AGGLOMERATION,,,,EPCI
821,Ville de Mulhouse et Mulhouse Alsace Agglomération,VILLE DE MULHOUSE ET MULHOUSE ALSACE AGGLOMERATION,,,,EPCI
829,Région Grand Est,REGION GRAND EST,,,,Region
833,DGFIP,DGFIP,,,,
835,Meuse Attractivité,MEUSE ATTRACTIVITE,,,,
837,La Poste,LA POSTE,,,,
840,conduisature des autocarrrrr,CONDUISATURE DES AUTOCARRRRR,,,,
843,L'Europe vue du ciel,L EUROPE VUE DU CIEL,,,,
844,insee,INSEE,,,,
845,test,TEST,,,,
848,COMMUNE DE KRUTH,KRUTH,216801712,68171,957,Commune
851,Commune de NIEDERENTZEN,NIEDERENTZEN,216802348,68234,744,Commune
852,Centre d'Information et d'Orientation de Nancy,CENTRE D INFORMATION ET D ORIENTATION DE NANCY,,,,
